nam_hoc,chuong_trinh,hoc_phi,ghi_chu
2025-2026,"Kỹ sư chính quy, bằng 2, liên thông, song bằng (K64 trở về trước)",513500 đ/tín chỉ,
2025-2026,Kỹ sư/kiến trúc sư theo CDIO (K64),574500 đ/tín chỉ,
2025-2026,Kỹ sư chất lượng cao K66 trở về trước,297000 đ/tín chỉ,
2025-2026,Kỹ sư chất lượng cao K67 trở đi,471500 đ/tín chỉ,
2025-2026,"Cử nhân, tích hợp cử nhân kỹ sư/kiến trúc sư (B2, LT, K65-K68)",524500 đ/tín chỉ,
2025-2026,"Cử nhân K69, K70",524500 đ/tín chỉ,
2025-2026,"Kỹ sư/kiến trúc sư K69, K70",524500 đ/tín chỉ,
2025-2026,Kỹ sư/kiến trúc sư (đã có bằng cử nhân),524500 đ/tín chỉ,
2025-2026,Phụ thu CT tiếng Anh/Pháp ngữ,15000000 đ/năm,Phụ thu
2025-2026,Đại học vừa học vừa làm - cấp bằng cử nhân,853500 đ/tín chỉ,
2025-2026,Đại học vừa học vừa làm - cấp bằng kỹ sư/kiến trúc sư,770500 đ/tín chỉ,
